,Banner,Banner Date,Revenue,Ranking
0,アルベドピックアップ,2020年12月23日～2021年01月12日,5708400.0,33位 / 全37件
1,鍾離ピックアップ,2020年12月01日～2020年12月22日,12100199.999999998,13位 / 全37件
2,タルタリヤピックアップ,2020年11月11日～2020年12月01日,10264400.0,16位 / 全37件
3,クレーピックアップ,2020年10月20日～2020年11月10日,13420100.0,12位 / 全37件
4,ウェンティピックアップ,2020年09月28日～2020年10月18日,10090200.0,17位 / 全37件
5,荒瀧一斗ピックアップ,2021年12月14日～2022年01月04日,7175700.000000001,28位 / 全37件
6,エウルア復刻&アルベド復刻,2021年11月24日～2021年12月14日,11168900.000000002,15位 / 全37件
7,胡桃復刻,2021年11月02日～2021年11月23日,16535600.0,5位 / 全37件
8,タルタリヤ復刻2,2021年10月13日～2021年11月02日,9406800.0,20位 / 全37件
9,珊瑚宮心海ピックアップ,2021年09月21日～2021年10月12日,7390100.0,27位 / 全37件
10,雷電将軍ピックアップ,2021年09月01日～2021年09月21日,14083400.0,9位 / 全37件
11,宵宮ピックアップ,2021年08月10日～2021年08月31日,8026600.0,24位 / 全37件
12,神里綾華ピックアップ,2021年07月21日～2021年08月10日,7731800.0,26位 / 全37件
13,楓原万葉ピックアップ,2021年06月29日～2021年07月20日,5165700.0,34位 / 全37件
14,クレー復刻,2021年06月09日～2021年06月29日,6787100.000000001,30位 / 全37件
15,エウルアピックアップ,2021年05月18日～2021年06月08日,8294600.0,23位 / 全37件
16,鍾離復刻,2021年04月28日～2021年05月18日,6445399.999999999,31位 / 全37件
17,タルタリヤ復刻,2021年04月06日～2021年04月27日,7758600.0,25位 / 全37件
18,ウェンティ復刻,2021年03月17日～2021年04月06日,4556000.0,35位 / 全37件
19,胡桃ピックアップ,2021年03月02日～2021年03月16日,8488900.0,22位 / 全37件
20,刻晴ピックアップ,2021年02月16日～2021年03月02日,4395200.0,36位 / 全37件
21,魈ピックアップ,2021年02月03日～2021年02月16日,7128800.0,29位 / 全37件
22,甘雨ピックアップ,2021年01月12日～2021年02月02日,13781900.0,10位 / 全37件
23,ニィロウとアルベド復刻,2022年10月14日～2022年11月01日,3055199.9999999995,37位 / 全37件
24,セノとウェンティ復刻,2022年09月28日～2022年10月14日,20039700.0,3位 / 全37件
25,心海と甘雨復刻,2022年09月09日～2022年09月27日,9916000.0,18位 / 全37件
26,ティナリと鍾離復刻,2022年08月24日～2022年09月09日,8555900.0,21位 / 全37件
27,宵宮復刻,2022年08月02日～2022年08月23日,9614500.0,19位 / 全37件
28,楓原万葉復刻&クレー復刻2,2022年07月13日～2022年08月02日,14947700.0,8位 / 全37件
29,荒瀧一斗復刻,2022年06月21日～2022年07月12日,5762000.0,32位 / 全37件
30,夜蘭ピックアップ＆魈復刻,2022年05月31日～2022年06月21日,27108200.0,1位 / 全37件
31,神里綾華復刻,2022年04月19日～2022年05月30日,17359700.0,4位 / 全37件
32,神里綾人ピックアップ&ウェンティ復刻,2022年03月30日～2022年04月19日,21446700.0,2位 / 全37件
33,雷電将軍復刻&珊瑚宮心海復刻,2022年03月08日～2022年03月29日,13580900.0,11位 / 全37件
34,八重神子ピックアップ,2022年02月16日～2022年03月08日,11611099.999999998,14位 / 全37件
35,甘雨復刻&鍾離復刻,2022年01月25日～2022年02月15日,16039800.0,6位 / 全37件
36,申鶴ピックアップ＆魈復刻,2022年01月05日～2022年01月25日,15724900.0,7位 / 全37件
